disease,resistance_gene_count,temperature,humidity,soil_moisture,light,risk_level,risk_score
Early Blight,0,34.8,30.8,67.7,849.9,LOW,12.0
Late Blight,1,34.8,30.8,67.7,849.9,LOW,10.0
Fusarium Wilt,2,34.8,30.8,67.7,849.9,MEDIUM,40.0
Early Blight,0,25.4,94.9,80.1,389.7,MEDIUM,42.0
Late Blight,1,25.4,94.9,80.1,389.7,LOW,25.0
Fusarium Wilt,1,25.4,94.9,80.1,389.7,LOW,25.0
Early Blight,0,29.7,71.4,22.2,938.8,MEDIUM,42.0
Late Blight,0,29.7,71.4,22.2,938.8,LOW,10.0
Fusarium Wilt,2,29.7,71.4,22.2,938.8,LOW,15.0
Early Blight,1,15.4,93.2,80.3,1014.8,LOW,35.0
Late Blight,1,15.4,93.2,80.3,1014.8,MEDIUM,45.0
Fusarium Wilt,1,15.4,93.2,80.3,1014.8,LOW,25.0
Early Blight,1,26.2,34.7,70.8,942.4,LOW,22.0
Late Blight,1,26.2,34.7,70.8,942.4,LOW,10.0
Fusarium Wilt,1,26.2,34.7,70.8,942.4,LOW,25.0
Early Blight,1,24.7,44.4,53.1,902.9,LOW,22.0
Late Blight,1,24.7,44.4,53.1,902.9,LOW,10.0
Fusarium Wilt,1,24.7,44.4,53.1,902.9,LOW,25.0
Early Blight,0,26.9,38.2,28.0,471.9,LOW,12.0
Late Blight,2,26.9,38.2,28.0,471.9,LOW,10.0
Fusarium Wilt,1,26.9,38.2,28.0,471.9,LOW,25.0
Early Blight,1,20.3,91.6,78.8,177.9,LOW,35.0
Late Blight,1,20.3,91.6,78.8,177.9,MEDIUM,55.0
Fusarium Wilt,1,20.3,91.6,78.8,177.9,LOW,25.0
Early Blight,1,28.1,62.1,72.8,988.2,LOW,35.0
Late Blight,2,28.1,62.1,72.8,988.2,LOW,10.0
Fusarium Wilt,2,28.1,62.1,72.8,988.2,LOW,25.0
Early Blight,1,31.8,75.8,88.7,208.3,MEDIUM,52.0
Late Blight,1,31.8,75.8,88.7,208.3,LOW,10.0
Fusarium Wilt,2,31.8,75.8,88.7,208.3,LOW,25.0
Early Blight,0,25.3,58.7,32.3,374.8,LOW,25.0
Late Blight,1,25.3,58.7,32.3,374.8,LOW,10.0
Fusarium Wilt,1,25.3,58.7,32.3,374.8,LOW,25.0
Early Blight,0,38.0,86.8,87.5,1119.0,LOW,25.0
Late Blight,2,38.0,86.8,87.5,1119.0,LOW,10.0
Fusarium Wilt,2,38.0,86.8,87.5,1119.0,LOW,25.0
Early Blight,0,16.3,55.8,88.8,391.7,LOW,25.0
Late Blight,2,16.3,55.8,88.8,391.7,LOW,10.0
Fusarium Wilt,0,16.3,55.8,88.8,391.7,LOW,25.0
Early Blight,0,27.8,78.9,22.4,426.4,MEDIUM,42.0
Late Blight,0,27.8,78.9,22.4,426.4,LOW,25.0
Fusarium Wilt,1,27.8,78.9,22.4,426.4,LOW,15.0
Early Blight,0,28.4,64.2,78.2,273.2,LOW,25.0
Late Blight,2,28.4,64.2,78.2,273.2,LOW,10.0
Fusarium Wilt,0,28.4,64.2,78.2,273.2,LOW,25.0
Early Blight,0,20.4,38.2,81.2,370.8,LOW,12.0
Late Blight,1,20.4,38.2,81.2,370.8,LOW,20.0
Fusarium Wilt,0,20.4,38.2,81.2,370.8,LOW,25.0
Early Blight,1,36.5,43.9,67.3,362.6,LOW,22.0
Late Blight,1,36.5,43.9,67.3,362.6,LOW,20.0
Fusarium Wilt,1,36.5,43.9,67.3,362.6,MEDIUM,40.0
Early Blight,1,16.7,61.2,89.9,1195.7,LOW,35.0
Late Blight,2,16.7,61.2,89.9,1195.7,LOW,25.0
Fusarium Wilt,0,16.7,61.2,89.9,1195.7,LOW,25.0
Early Blight,0,35.2,55.1,22.6,1017.1,LOW,25.0
Late Blight,0,35.2,55.1,22.6,1017.1,LOW,10.0
Fusarium Wilt,1,35.2,55.1,22.6,1017.1,LOW,15.0
Early Blight,1,33.8,50.4,63.1,1132.8,LOW,35.0
Late Blight,2,33.8,50.4,63.1,1132.8,LOW,10.0
Fusarium Wilt,1,33.8,50.4,63.1,1132.8,MEDIUM,40.0
Early Blight,1,28.9,78.8,26.3,797.7,MEDIUM,52.0
Late Blight,1,28.9,78.8,26.3,797.7,LOW,10.0
Fusarium Wilt,1,28.9,78.8,26.3,797.7,LOW,25.0
Early Blight,0,24.7,48.8,10.3,948.2,LOW,12.0
Late Blight,1,24.7,48.8,10.3,948.2,LOW,10.0
Fusarium Wilt,1,24.7,48.8,10.3,948.2,LOW,15.0
Early Blight,0,15.2,35.1,80.6,1094.3,LOW,12.0
Late Blight,0,15.2,35.1,80.6,1094.3,LOW,10.0
Fusarium Wilt,2,15.2,35.1,80.6,1094.3,LOW,25.0
Early Blight,0,22.1,91.1,73.7,1046.8,LOW,25.0
Late Blight,2,22.1,91.1,73.7,1046.8,MEDIUM,45.0
Fusarium Wilt,1,22.1,91.1,73.7,1046.8,LOW,25.0
Early Blight,0,35.3,57.6,59.7,270.0,LOW,25.0
Late Blight,0,35.3,57.6,59.7,270.0,LOW,10.0
Fusarium Wilt,0,35.3,57.6,59.7,270.0,MEDIUM,40.0
Early Blight,0,15.6,80.1,36.6,1123.9,LOW,25.0
Late Blight,0,15.6,80.1,36.6,1123.9,MEDIUM,45.0
Fusarium Wilt,1,15.6,80.1,36.6,1123.9,LOW,25.0
Early Blight,0,17.5,89.3,78.7,344.7,LOW,25.0
Late Blight,2,17.5,89.3,78.7,344.7,MEDIUM,45.0
Fusarium Wilt,1,17.5,89.3,78.7,344.7,LOW,25.0
Early Blight,0,15.5,43.1,36.3,1050.8,LOW,12.0
Late Blight,1,15.5,43.1,36.3,1050.8,LOW,10.0
Fusarium Wilt,1,15.5,43.1,36.3,1050.8,LOW,25.0
Early Blight,1,27.3,93.9,19.2,1167.4,MEDIUM,52.0
Late Blight,1,27.3,93.9,19.2,1167.4,LOW,35.0
Fusarium Wilt,2,27.3,93.9,19.2,1167.4,LOW,15.0
Early Blight,1,31.8,51.3,58.5,662.6,LOW,35.0
Late Blight,1,31.8,51.3,58.5,662.6,LOW,20.0
Fusarium Wilt,1,31.8,51.3,58.5,662.6,MEDIUM,40.0
Early Blight,0,36.3,66.6,67.6,916.1,LOW,25.0
Late Blight,2,36.3,66.6,67.6,916.1,LOW,10.0
Fusarium Wilt,1,36.3,66.6,67.6,916.1,MEDIUM,40.0
Early Blight,1,22.2,87.7,67.6,430.4,LOW,35.0
Late Blight,2,22.2,87.7,67.6,430.4,MEDIUM,45.0
Fusarium Wilt,2,22.2,87.7,67.6,430.4,LOW,25.0
Early Blight,0,24.7,93.9,64.2,1093.1,MEDIUM,42.0
Late Blight,1,24.7,93.9,64.2,1093.1,LOW,25.0
Fusarium Wilt,2,24.7,93.9,64.2,1093.1,LOW,25.0
Early Blight,1,24.9,69.4,62.4,611.5,LOW,35.0
Late Blight,2,24.9,69.4,62.4,611.5,LOW,25.0
Fusarium Wilt,0,24.9,69.4,62.4,611.5,LOW,25.0
Early Blight,1,18.9,35.8,51.2,796.2,LOW,22.0
Late Blight,0,18.9,35.8,51.2,796.2,LOW,10.0
Fusarium Wilt,1,18.9,35.8,51.2,796.2,LOW,25.0
Early Blight,0,19.6,31.7,29.6,622.6,LOW,12.0
Late Blight,2,19.6,31.7,29.6,622.6,LOW,10.0
Fusarium Wilt,1,19.6,31.7,29.6,622.6,LOW,25.0
Early Blight,1,31.0,63.6,29.5,821.7,LOW,35.0
Late Blight,0,31.0,63.6,29.5,821.7,LOW,10.0
Fusarium Wilt,2,31.0,63.6,29.5,821.7,LOW,25.0
Early Blight,1,19.0,95.1,51.4,155.2,LOW,35.0
Late Blight,1,19.0,95.1,51.4,155.2,MEDIUM,55.0
Fusarium Wilt,0,19.0,95.1,51.4,155.2,LOW,25.0
Early Blight,0,37.7,70.5,86.0,1080.6,LOW,25.0
Late Blight,0,37.7,70.5,86.0,1080.6,LOW,10.0
Fusarium Wilt,0,37.7,70.5,86.0,1080.6,LOW,25.0
Early Blight,1,35.6,80.6,48.0,385.1,LOW,35.0
Late Blight,0,35.6,80.6,48.0,385.1,LOW,10.0
Fusarium Wilt,0,35.6,80.6,48.0,385.1,MEDIUM,40.0
Early Blight,1,21.3,35.3,32.9,398.9,LOW,22.0
Late Blight,1,21.3,35.3,32.9,398.9,LOW,20.0
Fusarium Wilt,1,21.3,35.3,32.9,398.9,LOW,25.0
Early Blight,1,31.2,34.4,42.6,696.9,LOW,22.0
Late Blight,2,31.2,34.4,42.6,696.9,LOW,10.0
Fusarium Wilt,0,31.2,34.4,42.6,696.9,MEDIUM,40.0
Early Blight,1,31.0,88.3,71.2,518.4,MEDIUM,52.0
Late Blight,1,31.0,88.3,71.2,518.4,LOW,10.0
Fusarium Wilt,0,31.0,88.3,71.2,518.4,LOW,25.0
Early Blight,1,24.6,80.8,53.7,763.6,MEDIUM,52.0
Late Blight,2,24.6,80.8,53.7,763.6,LOW,25.0
Fusarium Wilt,2,24.6,80.8,53.7,763.6,LOW,25.0
Early Blight,1,30.6,57.5,23.2,614.1,LOW,35.0
Late Blight,1,30.6,57.5,23.2,614.1,LOW,20.0
Fusarium Wilt,1,30.6,57.5,23.2,614.1,LOW,15.0
Early Blight,1,15.6,73.7,20.9,607.9,LOW,35.0
Late Blight,2,15.6,73.7,20.9,607.9,LOW,25.0
Fusarium Wilt,1,15.6,73.7,20.9,607.9,LOW,15.0
Early Blight,1,23.7,81.1,76.6,377.5,LOW,35.0
Late Blight,1,23.7,81.1,76.6,377.5,MEDIUM,45.0
Fusarium Wilt,1,23.7,81.1,76.6,377.5,LOW,25.0
Early Blight,0,30.0,83.1,62.1,929.7,MEDIUM,42.0
Late Blight,2,30.0,83.1,62.1,929.7,LOW,10.0
Fusarium Wilt,2,30.0,83.1,62.1,929.7,MEDIUM,40.0
Early Blight,0,30.4,68.3,27.4,869.4,LOW,25.0
Late Blight,1,30.4,68.3,27.4,869.4,LOW,10.0
Fusarium Wilt,1,30.4,68.3,27.4,869.4,LOW,25.0
Early Blight,1,33.8,95.6,18.6,128.2,LOW,35.0
Late Blight,0,33.8,95.6,18.6,128.2,LOW,10.0
Fusarium Wilt,1,33.8,95.6,18.6,128.2,LOW,15.0
Early Blight,0,16.7,77.0,60.2,212.1,LOW,25.0
Late Blight,0,16.7,77.0,60.2,212.1,LOW,25.0
Fusarium Wilt,1,16.7,77.0,60.2,212.1,LOW,25.0
Early Blight,0,33.0,53.6,44.3,507.6,LOW,25.0
Late Blight,1,33.0,53.6,44.3,507.6,LOW,10.0
Fusarium Wilt,1,33.0,53.6,44.3,507.6,MEDIUM,40.0
Early Blight,1,37.1,73.2,76.3,878.0,LOW,35.0
Late Blight,0,37.1,73.2,76.3,878.0,LOW,10.0
Fusarium Wilt,1,37.1,73.2,76.3,878.0,LOW,25.0
Early Blight,1,27.4,62.9,44.8,904.1,LOW,35.0
Late Blight,0,27.4,62.9,44.8,904.1,LOW,25.0
Fusarium Wilt,1,27.4,62.9,44.8,904.1,MEDIUM,40.0
Early Blight,1,20.6,61.6,58.8,516.9,LOW,35.0
Late Blight,1,20.6,61.6,58.8,516.9,LOW,35.0
Fusarium Wilt,1,20.6,61.6,58.8,516.9,LOW,25.0
Early Blight,1,22.8,89.9,66.1,403.9,LOW,35.0
Late Blight,1,22.8,89.9,66.1,403.9,MEDIUM,55.0
Fusarium Wilt,1,22.8,89.9,66.1,403.9,LOW,25.0
Early Blight,0,32.4,77.0,61.7,639.9,LOW,25.0
Late Blight,2,32.4,77.0,61.7,639.9,LOW,10.0
Fusarium Wilt,1,32.4,77.0,61.7,639.9,MEDIUM,40.0
Early Blight,0,28.4,62.2,52.5,568.1,LOW,25.0
Late Blight,1,28.4,62.2,52.5,568.1,LOW,10.0
Fusarium Wilt,2,28.4,62.2,52.5,568.1,MEDIUM,40.0
Early Blight,0,17.8,43.1,19.6,689.5,LOW,12.0
Late Blight,2,17.8,43.1,19.6,689.5,LOW,10.0
Fusarium Wilt,1,17.8,43.1,19.6,689.5,LOW,15.0
Early Blight,1,37.5,65.7,32.6,210.6,LOW,35.0
Late Blight,2,37.5,65.7,32.6,210.6,LOW,10.0
Fusarium Wilt,1,37.5,65.7,32.6,210.6,LOW,25.0
Early Blight,1,21.3,96.3,54.3,867.2,LOW,35.0
Late Blight,1,21.3,96.3,54.3,867.2,MEDIUM,55.0
Fusarium Wilt,0,21.3,96.3,54.3,867.2,LOW,25.0
Early Blight,0,25.8,60.0,24.7,156.5,LOW,25.0
Late Blight,1,25.8,60.0,24.7,156.5,LOW,25.0
Fusarium Wilt,2,25.8,60.0,24.7,156.5,LOW,15.0
Early Blight,1,29.5,33.6,21.9,719.1,LOW,22.0
Late Blight,1,29.5,33.6,21.9,719.1,LOW,20.0
Fusarium Wilt,0,29.5,33.6,21.9,719.1,LOW,15.0
Early Blight,1,33.2,45.3,51.8,595.6,LOW,22.0
Late Blight,0,33.2,45.3,51.8,595.6,LOW,10.0
Fusarium Wilt,1,33.2,45.3,51.8,595.6,MEDIUM,40.0
Early Blight,1,29.0,80.3,85.8,328.6,MEDIUM,52.0
Late Blight,1,29.0,80.3,85.8,328.6,LOW,20.0
Fusarium Wilt,2,29.0,80.3,85.8,328.6,LOW,25.0
Early Blight,1,15.1,60.6,57.5,420.4,LOW,35.0
Late Blight,0,15.1,60.6,57.5,420.4,LOW,25.0
Fusarium Wilt,1,15.1,60.6,57.5,420.4,LOW,25.0
Early Blight,0,36.2,83.6,60.0,827.3,LOW,25.0
Late Blight,1,36.2,83.6,60.0,827.3,LOW,10.0
Fusarium Wilt,0,36.2,83.6,60.0,827.3,MEDIUM,40.0
Early Blight,0,34.0,34.9,23.3,438.4,LOW,12.0
Late Blight,1,34.0,34.9,23.3,438.4,LOW,20.0
Fusarium Wilt,1,34.0,34.9,23.3,438.4,LOW,15.0
Early Blight,1,31.1,94.1,50.0,643.2,MEDIUM,52.0
Late Blight,2,31.1,94.1,50.0,643.2,LOW,10.0
Fusarium Wilt,2,31.1,94.1,50.0,643.2,MEDIUM,40.0
Early Blight,0,17.1,95.4,76.9,732.7,LOW,25.0
Late Blight,0,17.1,95.4,76.9,732.7,MEDIUM,45.0
Fusarium Wilt,2,17.1,95.4,76.9,732.7,LOW,25.0
Early Blight,1,32.4,62.0,62.1,1107.7,LOW,35.0
Late Blight,0,32.4,62.0,62.1,1107.7,LOW,10.0
Fusarium Wilt,2,32.4,62.0,62.1,1107.7,MEDIUM,40.0
Early Blight,1,23.0,52.7,63.6,1043.5,LOW,35.0
Late Blight,1,23.0,52.7,63.6,1043.5,LOW,20.0
Fusarium Wilt,0,23.0,52.7,63.6,1043.5,LOW,25.0
Early Blight,0,27.7,60.9,35.2,455.6,LOW,25.0
Late Blight,1,27.7,60.9,35.2,455.6,LOW,25.0
Fusarium Wilt,0,27.7,60.9,35.2,455.6,LOW,25.0
Early Blight,0,27.5,58.1,25.0,498.0,LOW,25.0
Late Blight,0,27.5,58.1,25.0,498.0,LOW,10.0
Fusarium Wilt,1,27.5,58.1,25.0,498.0,LOW,25.0
Early Blight,0,36.3,59.8,65.9,233.6,LOW,25.0
Late Blight,1,36.3,59.8,65.9,233.6,LOW,20.0
Fusarium Wilt,1,36.3,59.8,65.9,233.6,MEDIUM,40.0
Early Blight,1,27.7,36.3,89.4,1104.2,LOW,22.0
Late Blight,1,27.7,36.3,89.4,1104.2,LOW,10.0
Fusarium Wilt,1,27.7,36.3,89.4,1104.2,LOW,25.0
Early Blight,1,26.7,48.6,76.8,1178.3,LOW,22.0
Late Blight,1,26.7,48.6,76.8,1178.3,LOW,20.0
Fusarium Wilt,0,26.7,48.6,76.8,1178.3,LOW,25.0
Early Blight,1,35.2,88.8,32.1,969.0,LOW,35.0
Late Blight,0,35.2,88.8,32.1,969.0,LOW,10.0
Fusarium Wilt,1,35.2,88.8,32.1,969.0,LOW,25.0
Early Blight,1,21.9,69.9,89.9,638.6,LOW,35.0
Late Blight,1,21.9,69.9,89.9,638.6,LOW,35.0
Fusarium Wilt,0,21.9,69.9,89.9,638.6,LOW,25.0
Early Blight,0,25.5,51.9,25.1,867.2,LOW,25.0
Late Blight,1,25.5,51.9,25.1,867.2,LOW,10.0
Fusarium Wilt,1,25.5,51.9,25.1,867.2,LOW,25.0
Early Blight,0,31.2,85.2,40.9,830.1,MEDIUM,42.0
Late Blight,1,31.2,85.2,40.9,830.1,LOW,20.0
Fusarium Wilt,1,31.2,85.2,40.9,830.1,MEDIUM,40.0
Early Blight,0,28.6,89.1,79.9,584.3,MEDIUM,42.0
Late Blight,1,28.6,89.1,79.9,584.3,LOW,10.0
Fusarium Wilt,1,28.6,89.1,79.9,584.3,LOW,25.0
Early Blight,0,18.6,61.9,87.5,472.4,LOW,25.0
Late Blight,0,18.6,61.9,87.5,472.4,LOW,25.0
Fusarium Wilt,0,18.6,61.9,87.5,472.4,LOW,25.0
Early Blight,0,23.7,51.5,67.5,935.3,LOW,25.0
Late Blight,2,23.7,51.5,67.5,935.3,LOW,10.0
Fusarium Wilt,0,23.7,51.5,67.5,935.3,LOW,25.0
Early Blight,0,37.9,80.8,44.7,208.3,LOW,25.0
Late Blight,1,37.9,80.8,44.7,208.3,LOW,20.0
Fusarium Wilt,0,37.9,80.8,44.7,208.3,MEDIUM,40.0
Early Blight,1,16.1,84.1,33.5,512.3,LOW,35.0
Late Blight,0,16.1,84.1,33.5,512.3,MEDIUM,45.0
Fusarium Wilt,1,16.1,84.1,33.5,512.3,LOW,25.0
Early Blight,0,16.8,89.2,59.6,364.9,LOW,25.0
Late Blight,2,16.8,89.2,59.6,364.9,MEDIUM,45.0
Fusarium Wilt,2,16.8,89.2,59.6,364.9,LOW,25.0
Early Blight,1,15.2,84.7,82.1,845.4,LOW,35.0
Late Blight,2,15.2,84.7,82.1,845.4,MEDIUM,45.0
Fusarium Wilt,0,15.2,84.7,82.1,845.4,LOW,25.0
Early Blight,1,24.8,47.0,77.6,319.1,LOW,22.0
Late Blight,2,24.8,47.0,77.6,319.1,LOW,10.0
Fusarium Wilt,0,24.8,47.0,77.6,319.1,LOW,25.0
Early Blight,1,37.8,50.1,88.2,824.1,LOW,35.0
Late Blight,0,37.8,50.1,88.2,824.1,LOW,10.0
Fusarium Wilt,1,37.8,50.1,88.2,824.1,LOW,25.0
Early Blight,0,28.9,63.8,82.3,414.8,LOW,25.0
Late Blight,1,28.9,63.8,82.3,414.8,LOW,20.0
Fusarium Wilt,0,28.9,63.8,82.3,414.8,LOW,25.0
Early Blight,0,30.6,79.0,62.7,1022.2,MEDIUM,42.0
Late Blight,0,30.6,79.0,62.7,1022.2,LOW,10.0
Fusarium Wilt,2,30.6,79.0,62.7,1022.2,MEDIUM,40.0
Early Blight,0,28.3,79.8,17.2,424.6,MEDIUM,42.0
Late Blight,2,28.3,79.8,17.2,424.6,LOW,10.0
Fusarium Wilt,0,28.3,79.8,17.2,424.6,LOW,15.0
Early Blight,0,27.2,92.1,76.4,382.7,MEDIUM,42.0
Late Blight,1,27.2,92.1,76.4,382.7,LOW,25.0
Fusarium Wilt,1,27.2,92.1,76.4,382.7,LOW,25.0
Early Blight,0,17.6,95.5,21.3,1163.2,LOW,25.0
Late Blight,0,17.6,95.5,21.3,1163.2,MEDIUM,45.0
Fusarium Wilt,0,17.6,95.5,21.3,1163.2,LOW,15.0
Early Blight,1,23.4,83.8,11.1,690.2,LOW,35.0
Late Blight,0,23.4,83.8,11.1,690.2,MEDIUM,45.0
Fusarium Wilt,0,23.4,83.8,11.1,690.2,LOW,15.0
Early Blight,0,36.6,37.4,28.7,127.5,LOW,12.0
Late Blight,0,36.6,37.4,28.7,127.5,LOW,10.0
Fusarium Wilt,2,36.6,37.4,28.7,127.5,LOW,25.0
Early Blight,1,33.9,91.8,34.2,549.1,LOW,35.0
Late Blight,1,33.9,91.8,34.2,549.1,LOW,20.0
Fusarium Wilt,2,33.9,91.8,34.2,549.1,LOW,25.0
Early Blight,0,35.4,39.2,46.3,837.5,LOW,12.0
Late Blight,1,35.4,39.2,46.3,837.5,LOW,20.0
Fusarium Wilt,1,35.4,39.2,46.3,837.5,MEDIUM,40.0
Early Blight,0,24.5,36.7,49.1,548.9,LOW,12.0
Late Blight,2,24.5,36.7,49.1,548.9,LOW,10.0
Fusarium Wilt,1,24.5,36.7,49.1,548.9,LOW,25.0
Early Blight,0,34.7,36.8,64.9,698.9,LOW,12.0
Late Blight,2,34.7,36.8,64.9,698.9,LOW,10.0
Fusarium Wilt,2,34.7,36.8,64.9,698.9,MEDIUM,40.0
Early Blight,0,34.5,60.9,63.0,805.9,LOW,25.0
Late Blight,1,34.5,60.9,63.0,805.9,LOW,10.0
Fusarium Wilt,2,34.5,60.9,63.0,805.9,MEDIUM,40.0
Early Blight,1,28.0,34.7,71.2,327.9,LOW,22.0
Late Blight,1,28.0,34.7,71.2,327.9,LOW,20.0
Fusarium Wilt,1,28.0,34.7,71.2,327.9,LOW,25.0
Early Blight,1,15.1,88.4,21.6,243.0,LOW,35.0
Late Blight,1,15.1,88.4,21.6,243.0,MEDIUM,45.0
Fusarium Wilt,2,15.1,88.4,21.6,243.0,LOW,15.0
Early Blight,1,33.2,46.2,35.9,291.7,LOW,22.0
Late Blight,0,33.2,46.2,35.9,291.7,LOW,10.0
Fusarium Wilt,1,33.2,46.2,35.9,291.7,LOW,25.0
Early Blight,0,32.9,64.9,18.7,654.2,LOW,25.0
Late Blight,1,32.9,64.9,18.7,654.2,LOW,10.0
Fusarium Wilt,0,32.9,64.9,18.7,654.2,LOW,15.0
Early Blight,1,25.5,95.6,14.9,626.9,MEDIUM,52.0
Late Blight,1,25.5,95.6,14.9,626.9,LOW,35.0
Fusarium Wilt,1,25.5,95.6,14.9,626.9,LOW,15.0
Early Blight,0,16.9,71.4,15.3,402.5,LOW,25.0
Late Blight,1,16.9,71.4,15.3,402.5,LOW,35.0
Fusarium Wilt,0,16.9,71.4,15.3,402.5,LOW,15.0
Early Blight,0,25.4,71.2,17.9,872.0,MEDIUM,42.0
Late Blight,0,25.4,71.2,17.9,872.0,LOW,25.0
Fusarium Wilt,1,25.4,71.2,17.9,872.0,LOW,15.0
Early Blight,1,25.4,45.5,37.1,598.8,LOW,22.0
Late Blight,2,25.4,45.5,37.1,598.8,LOW,10.0
Fusarium Wilt,1,25.4,45.5,37.1,598.8,LOW,25.0
Early Blight,1,18.5,92.8,15.4,1014.9,LOW,35.0
Late Blight,1,18.5,92.8,15.4,1014.9,MEDIUM,45.0
Fusarium Wilt,0,18.5,92.8,15.4,1014.9,LOW,15.0
Early Blight,1,28.5,68.2,36.4,234.5,LOW,35.0
Late Blight,0,28.5,68.2,36.4,234.5,LOW,10.0
Fusarium Wilt,0,28.5,68.2,36.4,234.5,LOW,25.0
Early Blight,1,37.3,70.8,38.1,735.7,LOW,35.0
Late Blight,1,37.3,70.8,38.1,735.7,LOW,20.0
Fusarium Wilt,1,37.3,70.8,38.1,735.7,LOW,25.0
Early Blight,0,23.5,81.9,55.9,987.9,LOW,25.0
Late Blight,0,23.5,81.9,55.9,987.9,MEDIUM,45.0
Fusarium Wilt,0,23.5,81.9,55.9,987.9,LOW,25.0
Early Blight,1,15.6,93.2,76.4,394.2,LOW,35.0
Late Blight,1,15.6,93.2,76.4,394.2,MEDIUM,55.0
Fusarium Wilt,2,15.6,93.2,76.4,394.2,LOW,25.0
Early Blight,0,35.0,68.5,42.1,256.1,LOW,25.0
Late Blight,1,35.0,68.5,42.1,256.1,LOW,10.0
Fusarium Wilt,2,35.0,68.5,42.1,256.1,MEDIUM,40.0
Early Blight,0,22.8,55.2,67.7,954.5,LOW,25.0
Late Blight,2,22.8,55.2,67.7,954.5,LOW,10.0
Fusarium Wilt,1,22.8,55.2,67.7,954.5,LOW,25.0
Early Blight,1,30.5,48.5,63.0,634.2,LOW,22.0
Late Blight,1,30.5,48.5,63.0,634.2,LOW,10.0
Fusarium Wilt,2,30.5,48.5,63.0,634.2,MEDIUM,40.0
Early Blight,1,21.5,76.1,48.9,833.8,LOW,35.0
Late Blight,1,21.5,76.1,48.9,833.8,LOW,25.0
Fusarium Wilt,2,21.5,76.1,48.9,833.8,LOW,25.0
Early Blight,1,19.9,39.3,30.4,460.9,LOW,22.0
Late Blight,1,19.9,39.3,30.4,460.9,LOW,20.0
Fusarium Wilt,1,19.9,39.3,30.4,460.9,LOW,25.0
Early Blight,0,26.5,86.7,74.5,179.3,MEDIUM,42.0
Late Blight,2,26.5,86.7,74.5,179.3,LOW,25.0
Fusarium Wilt,0,26.5,86.7,74.5,179.3,LOW,25.0
Early Blight,1,28.2,69.0,66.8,559.5,LOW,35.0
Late Blight,2,28.2,69.0,66.8,559.5,LOW,10.0
Fusarium Wilt,0,28.2,69.0,66.8,559.5,MEDIUM,40.0
Early Blight,1,34.1,92.5,17.1,1028.9,LOW,35.0
Late Blight,0,34.1,92.5,17.1,1028.9,LOW,10.0
Fusarium Wilt,2,34.1,92.5,17.1,1028.9,LOW,15.0
Early Blight,1,22.8,52.6,23.5,661.5,LOW,35.0
Late Blight,0,22.8,52.6,23.5,661.5,LOW,10.0
Fusarium Wilt,1,22.8,52.6,23.5,661.5,LOW,15.0
Early Blight,1,33.8,85.4,28.9,261.1,LOW,35.0
Late Blight,0,33.8,85.4,28.9,261.1,LOW,10.0
Fusarium Wilt,1,33.8,85.4,28.9,261.1,LOW,25.0
Early Blight,1,32.8,63.6,70.4,935.9,LOW,35.0
